Hogwarts|Art
school|college
Weasley|Puma
Molly|Alice
Arthur|Adam
Nymphadora|Danna
Death Eater|Dimmer
Auror|Policeman
pure-blood|elevated-mind
half-blood|middle-mind
muggle-born|no-mind
witch|weirdo
wizard|weirdo
muggle|simpleton
wand|pointer
cloak|jacket
Marauder's Map|mouse's place
The Order of the Phoenix|The family of dwarfs
Marauder|mouse
Gryffindor|Redhouse
Hufflepuff|Yellowhouse
Ravenclaw|Bluehouse
Slytherin|Greenhouse
Hogwarts Houses|Art Houses
Hogwarts School of Witchcraft and Wizardry|Art college of weirdocraft and weirdory
Beauxbatons Academy of Magic|Math school
Durmstrang Institute|Sport Organization
spell|mantra
Philosopher's Stone|thinking ball
Chamber of Secrets|diary
Azkaban|rotter
Goblet of Fire|glass of water
Prince|singer
Deathly Hallows|presents

Accio|Zarvio
Acromantula|Virellac
Advanced Potion-Making|Jaxenbrew
Alohomora|Tharilock
Ancient Magic Repositories|Fenwynnex
Avada Kedavra|Lunacurse
Basilisk|Seraphisk
Bezoar|Bramwellite
Bertie Bott’s Every Flavour Beans|Gryllibeans
Branwyn|Cedrwyn
Cave with Horcrux|Mirellcave
Chocolate Frog Cards|Quillochoc
Cruciatus|Sorrelus
Crumple-Horned Snorkack|Vesperack
Curse-Breaker Tools|Torrenkit
Decoy Detonators|Ravionate
Deluminator|Grindelume
Dementors|Sabletor
Disarming Charm|Talvornarm
Elder Wand|Draxilwand
Enchanted Bell Jar|Vandrosjar
Enchanted Portraits|Elowenart
Expecto Patronum|Brindletum
Expelliarmus|Rivenarm
Felix Felicis|Syrinluck
Fiendfyre|Darianfyre
Firebolt|Lirabolt
Flamel’s Workshop|Thorneforge
Flourish and Blotts|Vandrelbook
Floo Powder|Fendrelpow
Golden Snitch|Garrickgold
Graphorn|Malkhorn
Hippogriff|Durnigriff
Hour-Reversal Charm|Pindlehour
Imperius|Jorrenius
Inferi|Virellefi
Invisibility Cloak|Sorinaecloak
Icy Corridor|Branwynice
